,Commentaire,star,source,company,index_org,star_org,date
0,excelente,5,TrustedShop,ShowRoom,2320,5,2021-06-08
1,too,5,TrustedShop,ShowRoom,2324,5,2021-06-07
2,"i am still not sure if it is original . is it ? but in general , besides that , all great - fast and impeccable delivery .",5,TrustedShop,ShowRoom,2351,5,2021-06-06
3,ras,4,TrustedShop,ShowRoom,2358,4,2021-06-05
4,super,5,TrustedShop,ShowRoom,2378,5,2021-06-04
5,produits super a prix super,5,TrustedShop,ShowRoom,2386,5,2021-06-03
6,ras,5,TrustedShop,ShowRoom,2411,5,2021-06-02
7,all went great and fast,5,TrustedShop,ShowRoom,2416,5,2021-06-02
8,high quality and stylish bag,5,TrustedShop,ShowRoom,2417,5,2021-06-02
9,bom .,4,TrustedShop,ShowRoom,2452,4,2021-05-28
10,perfect,5,TrustedShop,ShowRoom,2459,5,2021-05-27
11,"one shoe is burn by the sun , so is not white is yelow ! ! ! this is the 2ond time what for is send a nasty produit . must be more careful . i will not buy any produit from this brand . im very disapointed and im going to send it back ! ! !",2,TrustedShop,ShowRoom,2461,2,2021-05-27
12,"came on time , one of the boxes had a big hole but the sneakers were in perfect condition .",5,TrustedShop,ShowRoom,2494,5,2021-05-26
13,achat parfait,5,TrustedShop,ShowRoom,2497,5,2021-05-26
14,super,5,TrustedShop,ShowRoom,2537,5,2021-05-22
15,bof,3,TrustedShop,ShowRoom,2546,3,2021-05-21
16,super,5,TrustedShop,ShowRoom,2583,5,2021-05-17
17,topissime,5,TrustedShop,ShowRoom,2599,5,2021-05-17
18,super,5,TrustedShop,ShowRoom,2656,5,2021-05-13
19,great service fast delivery love the sandals,5,TrustedShop,ShowRoom,2684,5,2021-05-11
20,horrible quality and fit,1,TrustedShop,ShowRoom,2719,1,2021-05-09
21,ras,5,TrustedShop,ShowRoom,2761,5,2021-05-05
22,excelente,5,TrustedShop,ShowRoom,2786,5,2021-05-03
23,oki oki,5,TrustedShop,ShowRoom,2787,5,2021-05-03
24,nickel,5,TrustedShop,ShowRoom,2796,5,2021-05-03
25,recommend,5,TrustedShop,ShowRoom,2812,5,2021-05-01
26,bom,5,TrustedShop,ShowRoom,2823,5,2021-04-30
27,super,5,TrustedShop,ShowRoom,2851,5,2021-04-29
28,good,5,TrustedShop,ShowRoom,2859,5,2021-04-29
29,ras,5,TrustedShop,ShowRoom,2910,5,2021-04-27
30,products in line with exceptations,4,TrustedShop,ShowRoom,2916,4,2021-04-27
31,nickel,5,TrustedShop,ShowRoom,2940,5,2021-04-26
32,some articles were different from that requested !,1,TrustedShop,ShowRoom,2942,1,2021-04-26
33,super,5,TrustedShop,ShowRoom,2943,5,2021-04-26
34,excelente,5,TrustedShop,ShowRoom,2973,5,2021-04-25
35,pessimi,1,TrustedShop,ShowRoom,2984,1,2021-04-24
36,nickel,5,TrustedShop,ShowRoom,2988,5,2021-04-23
37,the merchandise is rubbish and not safe . i would like you to send a courier to come it pick it up as i am completely unsatisfied with this purchase . the first time i have been unsatisfied with saldi privati 's offers .,3,TrustedShop,ShowRoom,2990,3,2021-04-23
38,super,5,TrustedShop,ShowRoom,3007,5,2021-04-22
39,ras,5,TrustedShop,ShowRoom,3031,5,2021-04-21
40,ras,4,TrustedShop,ShowRoom,3036,4,2021-04-21
41,bravo,5,TrustedShop,ShowRoom,3078,5,2021-04-18
42,ras,4,TrustedShop,ShowRoom,3094,4,2021-04-17
43,tooo much time waiting for the delivery,2,TrustedShop,ShowRoom,3095,2,2021-04-17
44,super,5,TrustedShop,ShowRoom,3102,5,2021-04-17
45,bom,5,TrustedShop,ShowRoom,3122,5,2021-04-15
46,ras,5,TrustedShop,ShowRoom,3142,5,2021-04-15
47,j'aime,4,TrustedShop,ShowRoom,3155,4,2021-04-14
48,top rien a redire felicitatuions,5,TrustedShop,ShowRoom,3185,5,2021-04-12
49,top !,5,TrustedShop,ShowRoom,3197,5,2021-04-10
50,ok ok ok,5,TrustedShop,ShowRoom,3209,5,2021-04-09
51,top,5,TrustedShop,ShowRoom,3215,5,2021-04-08
52,ras,5,TrustedShop,ShowRoom,3249,5,2021-04-05
53,top rapide,5,TrustedShop,ShowRoom,3254,5,2021-04-05
54,molto bene,5,TrustedShop,ShowRoom,3281,5,2021-04-03
