inID,Commentaire,star,source,company,index_org,star_org,date
0,"bonjour , ca doit faire 5 ans environ que je suis membre showrooprive . je n ’ ai jamais eu de soucis en particulier à part 2/3 petites bricoles…par contre depuis ces 3 derniers mois , une vraie catastrophe ! j ’ ai eu 3 commandes annulées d ’ affiliés… à se demander si les ventes sont bien réelles histoires de nous faire payer et que showroom « joue » avec notre argent en se faisant des intérêts bancaires sur notre dos ! ! ! ! la 1 ère commande « machines et cafés » 89,99€… annulé 1 mois après …la 2e commande « don ’ t call me jennifer » 65,16€… annulé 1 mois après …la 3e commande « techwood » 46,29€… annulé 1 mois après….je l ’ apprends toujours par mail…le même message « bateau » « malgré tous les efforts… .. bla-bla-bla bien évidemment , pas de dédommagement ! ! ! ! ben . non , hein , pourquoi faire ? ! ? ! je doute que ce site soit aussi fiable et sérieux qu ’ au début ! au final je vais juste rester fidèle sur n autre site marchand ! ! ! ! ! très décevant … plus du tout confiance je ne recommande plus du tout ce site et j ’ en fais part à mon entourage et réseaux sociaux ! ! afin d ’ éviter que d ’ autres personnes connaissent ce même type d ’ expérience ! !",1,TrustPilot,ShowRoom,0,1,2021-06-20 00:00:00+00:00
1,vente lacoste article manquant photo prise sur 6 articles la moitié livrée sans explication manque de respect.numero de commande 230130353,1,TrustPilot,ShowRoom,1,1,2021-06-20 00:00:00+00:00
2,"vente lacoste honteuse , article erroné , article manquant , pas de bon de livraison , retard et service client désastreux.après deux appels désastreux , je tenais à avertir les plus courageux qui oseront commander et contacter ce service client . showroom fait dans le pire du pire . attentions aux oreilles , votre interlocuteur vous parle dans environnement très bruyant de type chantier , coup de marteaux et jet de matériaux à proximité du micro . vous demandez de faire cesser la nuisance , on vous répond que non car ils vous entendent très bien . erreur sur votre commande , l ’ interlocuteur ne vous crois pas , il faut envoyer les captures d ’ écran de sa commande pour les convaincre qu ’ ils font bien n ’ importe quoi.la commande arrive en plusieurs fois pour une même vente , retard , article manquant et pas de bon livraison pour comprendre quoi que ce soit , on ne sait rien et il est impossible d ’ obtenir le suivi de livraison et les détails pour les articles manquants.un article annulé par showroom car n ’ était plus en stock mais toujours proposé à la vente . ( commande n°230077467 et commande n•230077467 ) ca fait beaucoup d ’ un coup , c ’ est inadmissible.fuyez !",1,TrustPilot,ShowRoom,2,1,2021-06-19 00:00:00+00:00
3,"j'ai commandé des mules de la marque moosefield , très déçue du produit , une étiquette collée sur une des mules donc tâche ! ! produit très moyen .",2,TrustPilot,ShowRoom,3,2,2021-06-19 00:00:00+00:00
4,commande téléphone etat a+ . livraison d un vieux téléphone pourri sans batterie rayé partout et inaudible ! ! ! super l affaire 300 euros a la poubelle merci showroomprivee ! ! ! passez votre chemin ils sont nuls et ne contrôlent même pas ce qu ils proposent a la vente .,1,TrustPilot,ShowRoom,4,1,2021-06-19 00:00:00+00:00
5,"commande passée pour une vente lacoste , livraison 15 nous après la date prévue , déjà 6 semaines après l'achat , sur 3 produits , 2 manquants . pas pro , pas sérieux , aucun geste commercial hormis le remboursement promis des 2 articles manquants .",1,TrustPilot,ShowRoom,5,1,2021-06-19 00:00:00+00:00
6,annulation de commande après 2 mois d ’ attente dans un geste et sans explication . retard de livraison et report à 3 reprise pour se résultat incompréhensible et inadmissible je recommande pas le site mieux vaut aller sur vente privée au mon d on attend mais on a sa commande,1,TrustPilot,ShowRoom,6,1,2021-06-18 00:00:00+00:00
7,"extrêmement déçue de la vente apple ! ! achat d ’ un iphone reconditionné grade a+ ( fournisseur prs , phone recycle ) il a fonctionné 15 jours ! ! ! sav lamentable jusqu ’ a 6 jours pour répondre à une ’ question et pas de prise en charge des frais de retour pour réparation ... sav showroom qui lit les mails ’ en diagonale et répond à côté ! lamentable ... téléphone pas encore récupéré , ce sera mon dernier achat ! !",1,TrustPilot,ShowRoom,7,1,2021-06-18 00:00:00+00:00
8,"extrêmement deçu pour mes achats lors la vente dolores promesas , j'ai reçu des vetements sales et déja utilisées !",1,TrustPilot,ShowRoom,8,1,2021-06-18 00:00:00+00:00
9,s'il y'avait une option : ne pas mettre d'étoile ( une étoile c'est trop ! ) je serais contente . j'ai passé une commande mi-avril et là nous sommes en mi-juin je ne l'ai toujours pas reçu ! et quand je leur faire part de ça il ne me réponde pas ! j'ai commandé des articles de jennyfer via leur site . c'est marqué colis expédié via mondial relay mais depuis plus rien même pas un numéro de suivi !,1,TrustPilot,ShowRoom,9,1,2021-06-18 00:00:00+00:00
