inID,Commentaire,star,source,company,index_org,star_org,date
15699,"j'ai commandé un laguiole en pensant faire une bonne affaire . ma commande à mise 1 mois à arriver , déjà c'est bof mais quand j'ai vu qu'ils m'avaient envoyé un couteau made in china ... ca me laisse sans mots ... sauf peut être escrocs ! ! nan mais vraiment , c'est ma première commande et je pensais avoir à faire à un site sérieux mais je suis tombé des nues . j'ai échangé quelques mails avec le service client et je n'ai rien eu de plus que des copier coller . nul nul nul , à fuir comme site !",1,TrustPilot,VeePee,18985,1,2018-06-13 00:00:00+00:00
15700,"très déçu , j'ai passé une commande , aucun respect des délais de livraison , on nous dit juste que le colis est prit en compte c'est honteux qu'en 2018 le colis mette plus de 15 jours à arriver , aujourd'hui toujours aucune nouvelle de ma commande , c'est finit on ne m ' y reprendra plus à passer commande chez vente privée , terminé",1,TrustPilot,VeePee,18986,1,2018-06-13 00:00:00+00:00
15701,"tres decue du service censé vous renseigner , les employés ne comprennent pas pour la plupart le but de votre appel , on vous raconte n'importe quoi vous etes prié d'attendre votre remboursement très long pour des articles arrivés cassés surtout si vous avez payé en 3 fois alors là c'est folklo , vous subissez un problème mais c'est rien avant d'en finir , j'ai eu des remboursements que je ne comprends pas mais je suis lasse d'appeler et cliente depuis très très longtemps chez vente privée je vais aller voir ailleurs vente privee n'est plus le site serieux et respectueux de sa clientele . le service apres-vente archi nul , l'intendance ne suit pas les ventes allechantes proposees sur le site .",1,TrustPilot,VeePee,18987,1,2018-06-12 00:00:00+00:00
15702,"attention quand vous achetez des places de concerts en soit disant exclusivité.vous n'avez pas le choix de l'emplacement , et pour cause , ils achètent ( à prix réduits certainement ) les pires places de chaque catégorie pour vous les revendre.carré or , je me suis retrouvé à l'extreme gauche et ne pas voir la scène ... c'est assez pitoyable comme méthode .",1,TrustPilot,VeePee,18988,1,2018-06-12 00:00:00+00:00
15703,"client chez vente privé depuis 2012 , je commande absolument tout ce dont j'ai besoin sur ce site , que ce soit pour la maison , les vêtements , chaussures , produits cosmétique , vins et je suis toujours aussi satisfait , les produits correspondent aux descriptions . les délais de livraison sont certes longs , mais on le sait à l'avance quand on passe la commande . ils ne vendent que des produits de marques connues voire prestigieuses , donc peu de chance de tomber sur des articles de mauvaise qualité",5,TrustPilot,VeePee,18989,5,2018-06-12 00:00:00+00:00
15704,"a fuir ! ! ! des articles de second choix , mauvaise qualité.des commandes qui arrivent incomplètes et pas de remboursement des articles non livrés .",1,TrustPilot,VeePee,18990,1,2018-06-12 00:00:00+00:00
15705,"alors mon expérience sur vente privé est la suivante j'ai commandé des boxers sur ce site est ma taille bien entendu étais du m mais j'étais hésitant à propos de la taille et je voulais voir si y ' a un guide de taille sachant que je suis un habitué des achats en ligne sur zalando , amazon ...... ect on trouve toujours un guide des tailles mais malheureusement sur vente privé non bref je commande comme même ces boxers et à la réception du colis je regarde les boxers sont de la taille m mais de vue c'est du xs je rappelle le sav on leur expliquant bien que je veux retourné ces boxer pour motif sont trop petit et il ont facturés les frais du retour à ma charge sachant que j'ai bien explique c'est bien de leur faute parce que y avait plus de guide de taille mais il ont rien voulue comprendre ils ont facturé les frais à mon nom . c'est la dernière fois ou je fais des achats sur vente privée site maudis ce n'est pas le faite de payer 6,90 qui me déplaise mais on lisant les condition de retour en aucun cas ce cas à étais figurer parmi ces condition c'est bien dommage pour eux manque de transparence .",1,TrustPilot,VeePee,18991,1,2018-06-11 00:00:00+00:00
15706,j'ai commander un boucleur qui devais arrivée 20 jours après . le temps estimer pour la livraison dépasser je n'ai toujours rien reçu et le statut de mon colis est toujours en préparation . apres avoir appeler le service client on m'annonce que je ne recevrait pas mon colis . ce site est à fuir ! on ne vous prévient meme pas du fait qu'ils sont en rupture ( chose qui n'est deja pas normal ) . super mauvaise organisation ! étant une plateforme tres connu ce site ne mérite pas sa notoriété,1,TrustPilot,VeePee,18992,1,2018-06-09 00:00:00+00:00
15707,commande estimé entre le 24/05 et 27/05 arrive le 10/06 . et en plus de cela j ’ ai commander une box stadium prémium et je retrouve avec une box stadium experience . c ’ est une honte de trompé les clients de la sorte . je me suis fait excroqué 100euros sur la commande,1,TrustPilot,VeePee,18993,1,2018-06-09 00:00:00+00:00
15708,sur 3 commandes effectuées 2 ne sont jamais arrivées jusqu ’ a moi ! ! ! ! cela dure pour la premier de puis début mars et je ne suis toujours pas remboursée . ce site n ’ est pas à la hauteur de ses engagements clients . il ne faut plus l ’ utiliser ! ! !,1,TrustPilot,VeePee,18994,1,2018-06-08 00:00:00+00:00
15709,"de plus en plus mauvais , des livraisons retardées , en revanche le montant est prélevé , à ce demander si vp ne travaille pas avec notre argent et ensuite vp rembourse bien évidemment , mais entre temps et bien vp fait de la trésorerie . moi qui si cliente depuis fort longtemps ce site ne vaut plus rien . marchandise de bas de gamme , livraisons tardives et frais de port exorbitant . n'achetez plus dans ce site",1,TrustPilot,VeePee,18995,1,2018-06-07 00:00:00+00:00
15710,"livraison estimée au 02/05 , commande expédiée le 14/05 et ce n'est pas la première fois.et bien sûr lorsque l'on réclame le remboursement des frais de port il n ' y a plus personne qui répond aux mails . sachant que les frais de port sont exorbitants et non justifié ! aucun suivi client , vente privée est devenue une vraie arnaque à éviter ! showroom a un suivi client parfait avec remboursement des frais de port pour 1 jour de retard . testé et approuvé ! vente privée n'est plus ce que c'était .",1,TrustPilot,VeePee,18996,1,2018-06-07 00:00:00+00:00
15711,"j'ai commandé le 28 avril 2018 , j'ai tel entre deux pour savoir si ma commande est toujours ok , après confirmation au tel , ce jour comme par hasard je reçois un mail pour me dire que impossible d'honorer votre commande sachant que j'ai tel hier vente privée vous êtes des rigolos aucun respect des clients j'ai tel a 16h43 j'ai laissé nom , prénom , numéro de carte d'identité à toutes les personnes qui lisent le message évité ce site bidon de vrai comique ( vous savez qui je suis , j'ai prévenu mon départ en vacance vendredi et la dernière fois j'ai reçu mon colis à montreuil au lieu de rosny si ça c'est pas ce moqué du client )",1,TrustPilot,VeePee,18997,1,2018-06-06 00:00:00+00:00
15712,j'attends tjs mon colis ça fait 2 mois il est perdu et ils ne me répondent pas et pas non possible d'annuler la commande ... vous avez compris ! ne commandez plus !,1,TrustPilot,VeePee,18998,1,2018-06-05 00:00:00+00:00
15713,"pour la 1ere fois vente privé nous a vraiment déçu et pourtant nous sommes de très fidèles clients de la 1ere heure . notre commande a été passée début mars et livrable entre 7 et 13 avril . il s'agit d ' un salon de jardin comprenant 4 chaises et 1 table de chez macabane et qui devez nous être livré avec :1- des retards à répétition 2- livraison au compte goutte , seulement 2 chaises dans un 1er temps ! 3- ensuite dernière livraison incomplète , nous avons reçu juste le piètement de la table sans le dessus et il nous manque encore 2 chaises ! ! livraison refusée car non conforme et incomplète . comment ne pas penser que vente privée se moque du client ? ? vente privée ne nous à nullement averti que les livraisons seraient échelonnées sur plusieurs mois par contre le paiement a été pris en compte de suite lui 😡",2,TrustPilot,VeePee,18999,2,2018-06-04 00:00:00+00:00
